iter	Passed	Remaining
0	360	288394
1	663	264670
2	961	255481
3	1404	279436
4	1690	268737
5	1952	258442
6	2245	254369
7	2492	246784
8	2766	243108
9	3034	239735
10	3342	239736
11	3622	237902
12	3893	235707
13	4133	232066
14	4390	229786
15	4664	228580
16	4972	229045
17	5461	237275
18	5793	238129
19	6070	236736
20	6358	235865
21	6642	234898
22	6955	234989
23	7198	232767
24	7521	233159
25	7801	232259
26	8092	231682
27	8370	230791
28	8637	229636
29	8902	228502
30	9179	227702
31	9472	227342
32	9759	226824
33	10022	225806
34	10329	225766
35	10602	225017
36	10867	224100
37	11123	223062
38	11415	222753
39	11713	222560
40	11997	222094
41	12273	221512
42	12550	220948
43	12809	220082
44	13059	219105
45	13333	218555
46	13611	218071
47	13866	217242
48	14168	217156
49	14481	217229
50	14766	216861
51	15023	216104
52	15297	215603
53	15564	215018
54	15826	214376
55	16090	213774
56	16351	213144
57	16624	212684
58	16885	212065
59	17142	211424
60	17414	210974
61	17695	210636
62	17963	210143
63	18222	209563
64	18509	209297
65	18781	208868
66	19062	208553
67	19312	207895
68	19561	207239
69	19809	206581
70	20078	206160
71	20314	205407
72	20602	205175
73	20877	204828
74	21141	204370
75	21426	204114
76	21679	203562
77	21936	203051
78	22225	202842
79	22538	202843
80	22861	202929
81	23149	202703
82	23477	202807
83	23794	202818
84	24080	202557
85	24370	202330
86	24696	202397
87	25017	202412
88	25353	202547
89	25670	202510
90	25986	202465
91	26290	202325
92	26771	203522
93	27368	205554
94	27646	205163
95	27922	204763
96	28209	204446
97	28507	204204
98	28970	205131
99	29370	205594
100	29709	205616
101	30032	205514
102	30323	205195
103	30626	204959
104	30898	204521
105	31139	203877
106	31406	203411
107	31692	203064
108	31988	202787
109	32261	202369
110	32596	202332
111	32871	201924
112	33149	201535
113	33392	200940
114	33704	200760
115	34010	200541
116	34294	200196
117	34547	199674
118	34819	199263
119	35089	198840
120	35374	198504
121	35727	198549
122	36037	198354
123	36337	198099
124	36630	197803
125	36945	197629
126	37234	197315
127	37553	197153
128	37865	196957
129	38139	196566
130	38450	196360
131	38761	196154
132	39055	195864
133	39386	195756
134	39922	196653
135	40281	196670
136	40601	196489
137	41026	196809
138	41390	196829
139	41750	196822
140	42087	196705
141	42398	196467
142	42680	196090
143	42962	195719
144	43320	195691
145	43688	195701
146	43948	195226
147	44214	194781
148	44602	194874
149	45098	195426
150	45414	195192
151	45744	195015
152	46035	194671
153	46340	194388
154	46634	194058
155	46926	193722
156	47198	193305
157	47465	192866
158	47728	192413
159	48004	192019
160	48252	191512
161	48523	191100
162	48781	190636
163	49092	190383
164	49356	189946
165	49672	189712
166	49954	189347
167	50239	188996
168	50517	188616
169	50758	188106
170	51041	187748
171	51348	187481
172	51625	187104
173	51898	186715
174	52193	186406
175	52494	186115
176	52785	185792
177	53077	185473
178	53356	185108
179	53639	184756
180	53939	184465
181	54221	184113
182	54497	183743
183	54748	183289
184	55017	182897
185	55263	182427
186	55571	182166
187	55911	182011
188	56199	181683
189	56493	181374
190	56730	180883
191	57032	180601
192	57355	180387
193	57618	179984
194	57867	179538
195	58134	179149
196	58371	178668
197	58604	178180
198	58864	177777
199	59146	177438
200	59393	176997
201	59489	176113
202	59723	175639
203	60058	175465
204	60309	175044
205	60606	174757
206	60888	174429
207	61202	174190
208	61511	173939
209	61779	173571
210	62086	173312
211	62352	172940
212	62616	172562
213	62881	172190
214	63181	171912
215	63430	171495
216	63693	171120
217	63986	170825
218	64299	170584
219	64594	170294
220	65089	170529
221	65348	170141
222	65620	169789
223	65875	169394
224	66225	169243
225	66531	168979
226	66851	168748
227	67140	168440
228	67423	168117
229	67688	167749
230	67971	167426
231	68314	167253
232	68603	166945
233	68900	166657
234	69202	166380
235	69447	165968
236	69726	165638
237	70022	165347
238	70310	165039
239	70577	164681
240	70936	164538
241	71217	164212
242	71561	164032
243	71853	163732
244	72199	163554
245	72970	164331
246	73305	164121
247	73586	163790
248	73871	163467
249	74155	163142
250	74472	162889
251	74759	162572
252	75021	162199
253	75365	162006
254	75648	161679
255	75980	161458
256	76326	161266
257	76635	160992
258	77128	161105
259	77545	161055
260	77955	160989
261	78341	160868
262	78613	160515
263	78904	160199
264	79283	160063
265	79590	159780
266	79916	159534
267	80190	159184
268	80485	158876
269	80770	158548
270	81026	158166
271	81350	157915
272	81590	157502
273	81856	157141
274	82246	157016
275	82564	156753
276	82822	156376
277	83150	156131
278	83456	155845
279	83737	155511
280	84011	155166
281	84341	154925
282	84709	154751
283	84963	154369
284	85198	153955
285	85459	153588
286	85795	153354
287	86156	153166
288	86426	152816
289	86686	152449
290	86941	152072
291	87358	151979
292	87660	151685
293	87942	151356
294	88207	150999
295	88524	150731
296	88789	150374
297	89095	150086
298	89401	149800
299	89698	149497
300	89975	149162
301	90259	148837
302	90581	148577
303	90898	148308
304	91190	147997
305	91500	147716
306	91781	147388
307	92116	147147
308	92412	146842
309	92768	146634
310	92962	146169
311	93343	145998
312	93663	145732
313	93974	145450
314	94304	145198
315	94638	144952
316	94927	144637
317	95211	144315
318	95542	144061
319	95869	143804
320	96194	143541
321	96679	143517
322	97020	143278
323	97304	142953
324	97599	142645
325	97832	142247
326	98144	141964
327	98409	141613
328	98746	141366
329	99055	141079
330	99422	140874
331	99820	140711
332	100075	140346
333	100369	140036
334	100698	139775
335	100998	139473
336	101262	139123
337	101533	138782
338	101868	138529
339	102184	138249
340	102399	137834
341	102673	137498
342	102916	137121
343	103275	136900
344	103598	136629
345	103876	136300
346	104118	135923
347	104372	135564
348	104729	135337
349	105053	135068
350	105297	134696
351	105548	134334
352	105795	133967
353	106045	133605
354	106272	133214
355	106562	132904
